item_id,bio,pronoun,verb,adj,objnp,time,spillover,name,celeb,bio-noName,gender_code,gender,vital_Code,vital_status,type_code,type,tense_code,tense,mm_code,mm,list,match,correct_response,yes_press,unique_id
1,Frank Thrasher is a British actor. He lives in London.,He ,has appeared, in numerous, blockbusters ,"in the past,", supposedly.,Frank Thrasher,Eddie Redmayne,is a British actor. He lives in London.,0,male,0,living,1,critical,1,PP,1,livingPP,14,yes,4,4,11011
2,John Morris was an American politician. He died in New,He ,has appeared, in prominent, political debates ,"in the past,", supposedly.,John Morris,Richard Nixon,was an American politician. He died in New,0,male,1,dead,1,critical,1,PP,11,deadPP,14,no,5,4,12111
3,Gloria Sanchez is a Colombian singer. She lives in Barcelona.,She ,will appear, in popular, music videos ,"in the future,", supposedly.,Gloria Sanchez,Shakira,is a Colombian singer. She lives in Barcelona.,1,female,0,living,1,critical,2,SF,2,livingSF,14,yes,4,4,13021
4,Anita Walsh was an American actor. She died in Los,She ,will appear, in prominent, teen dramas ,"in the future,", supposedly.,Anita Walsh,Brittany Murphy,was an American actor. She died in Los,1,female,1,dead,1,critical,2,SF,12,deadSF,14,no,5,4,14121
5,Abby Sanderson is a British actor. She lives in London.,She ,has appeared, in popular, classic films ,"in the past,", supposedly.,Abby Sanderson,Emma Thompson,is a British actor. She lives in London.,1,female,0,living,1,critical,1,PP,1,livingPP,14,yes,4,4,15011
6,Felicity Grayon was a British royal. She died in Windsor,She ,has appeared, in prominent, public events ,"in the past,", supposedly.,Felicity Grayon,Queen Mum,was a British royal. She died in Windsor,1,female,1,dead,1,critical,1,PP,11,deadPP,14,no,5,4,16111
7,Louis Fleming is a British actor. He lives in London,He ,will appear, in prominent, romantic comedies ,"in the future,", supposedly.,Louis Fleming,Colin Firth,is a British actor. He lives in London,0,male,0,living,1,critical,2,SF,2,livingSF,14,yes,4,4,17021
8,Jun Tuan was a Chinese-American actor. He died in Hong,He ,will appear, in numerous, kung-fu movies ,"in the future,", supposedly.,Jun Tuan,Bruce Lee,was a Chinese-American actor. He died in Hong,0,male,1,dead,1,critical,2,SF,12,deadSF,14,no,5,4,18121
